Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-156827,"L13a-mediated translational silencing of Ceruloplasmin expression",81,118,0,2,0.008508183719085731,1.1102230246251565E-16,4.4075854077618715E-14,3,3,2.576655501159495E-4,9606,Homo sapiens,"RL29_HUMAN;RL13A_HUMAN;EIF3C_HUMAN;RL10A_HUMAN;IF4A2_HUMAN;EIF3J_HUMAN;EIF3M_HUMAN;RL12_HUMAN;RL4_HUMAN;RL22_HUMAN;RL35A_HUMAN;RL8_HUMAN;RL26_HUMAN;RL36_HUMAN;RLA1_HUMAN;RL18A_HUMAN;EIF3G_HUMAN;RS23_HUMAN;RS13_HUMAN;RS20_HUMAN;RS10_HUMAN;RL5_HUMAN;RS4X_HUMAN;RL23_HUMAN;RS3_HUMAN;RL38_HUMAN;RLA2_HUMAN;EIF3I_HUMAN;RS16_HUMAN;RL35_HUMAN;RS12_HUMAN;RS15A_HUMAN;EIF3F_HUMAN;RS27_HUMAN;RS27L_HUMAN;RL15_HUMAN;RS19_HUMAN;RS7_HUMAN;RS2_HUMAN;IF2B_HUMAN;IF4B_HUMAN;RS25_HUMAN;EIF3H_HUMAN;IF1AX_HUMAN;EIF3A_HUMAN;PABP1_HUMAN;RL23A_HUMAN;RL27A_HUMAN;RL27_HUMAN;RL9_HUMAN;IF4E_HUMAN;RS18_HUMAN;EIF3E_HUMAN;RL11_HUMAN;EIF3L_HUMAN;RL7A_HUMAN;RL34_HUMAN;RL31_HUMAN;RL21_HUMAN;RL36L_HUMAN;RL3_HUMAN;RL6_HUMAN;RS6_HUMAN;RS28_HUMAN;IF4H_HUMAN;EIF3B_HUMAN;RL13_HUMAN;RL28_HUMAN;IF2A_HUMAN;EIF3D_HUMAN;RS26_HUMAN;RS17_HUMAN;RS11_HUMAN;RS27A_HUMAN;IF2G_HUMAN;RS29_HUMAN;RS14_HUMAN;RL7_HUMAN;RLA0_HUMAN;IF4A1_HUMAN;RS3A_HUMAN","",,,"R-HSA-156832;R-HSA-156823;R-HSA-156826"
R-HSA-72689,"Formation of a pool of free 40S subunits",72,106,4,6,0.007642944696805826,1.1102230246251565E-16,4.4075854077618715E-14,2,2,1.71777033410633E-4,9606,Homo sapiens,"RL29_HUMAN;RL13A_HUMAN;EIF3C_HUMAN;RL10A_HUMAN;EIF3J_HUMAN;EIF3M_HUMAN;RL12_HUMAN;RL4_HUMAN;RL22_HUMAN;RL35A_HUMAN;RL8_HUMAN;RL26_HUMAN;RL36_HUMAN;RLA1_HUMAN;RL18A_HUMAN;EIF3G_HUMAN;RS23_HUMAN;RS13_HUMAN;RS20_HUMAN;RS10_HUMAN;RL5_HUMAN;RS4X_HUMAN;RL23_HUMAN;RS3_HUMAN;RL38_HUMAN;RLA2_HUMAN;EIF3I_HUMAN;RS16_HUMAN;RL35_HUMAN;RS12_HUMAN;RS15A_HUMAN;EIF3F_HUMAN;RS27_HUMAN;RS27L_HUMAN;RL15_HUMAN;RS19_HUMAN;RS7_HUMAN;RS2_HUMAN;RS25_HUMAN;EIF3H_HUMAN;IF1AX_HUMAN;EIF3A_HUMAN;RL23A_HUMAN;RL27A_HUMAN;RL27_HUMAN;RL9_HUMAN;RS18_HUMAN;EIF3E_HUMAN;RL11_HUMAN;EIF3L_HUMAN;RL7A_HUMAN;RL34_HUMAN;RL31_HUMAN;RL21_HUMAN;RL36L_HUMAN;RL3_HUMAN;RL6_HUMAN;RS6_HUMAN;RS28_HUMAN;EIF3B_HUMAN;RL13_HUMAN;RL28_HUMAN;EIF3D_HUMAN;RS26_HUMAN;RS17_HUMAN;RS11_HUMAN;RS27A_HUMAN;RS29_HUMAN;RS14_HUMAN;RL7_HUMAN;RLA0_HUMAN;RS3A_HUMAN","Q9Y3U8;P23396;O75821;O75822;Q71UM5;P62917;P62081;P62280;P18124;O00303;P39019;P62750;P62277;P47914;P39023;P62273;P30050;P46783;P62913;P62753;O15371;O15372;P36578;P62244;P63173;P61353;P61313;Q7L2H7;P05386;P46777;P46776;P60866;P60228;P05387;P46779;P05388;P46778;P49207;P62249;P25398;P55884;P32969;P42766;Q02878;P62899;P40429;P61247;Q14152;P62857;P62979;P62851;P47813;P62854;Q13347;P08708;P26373;P62906;P62829;P35268;P18077;P42677;Q99613;P62266;P15880;Q02543;P61254;P62263;P62701;Q9Y262;P62269;P62424;Q969Q0",EIF3C_HUMAN;RAN_HUMAN;EIF3A_HUMAN;IF5_HUMAN,P47813,"R-HSA-72673;R-HSA-72676"
R-HSA-72706,"GTP hydrolysis and joining of the 60S ribosomal subunit",81,122,16,46,0.008796596726512366,1.1102230246251565E-16,4.4075854077618715E-14,3,3,2.576655501159495E-4,9606,Homo sapiens,"RL29_HUMAN;RL13A_HUMAN;EIF3C_HUMAN;RL10A_HUMAN;IF4A2_HUMAN;EIF3J_HUMAN;EIF3M_HUMAN;RL12_HUMAN;RL4_HUMAN;RL22_HUMAN;RL35A_HUMAN;RL8_HUMAN;RL26_HUMAN;RL36_HUMAN;RLA1_HUMAN;RL18A_HUMAN;EIF3G_HUMAN;RS23_HUMAN;RS13_HUMAN;RS20_HUMAN;RS10_HUMAN;RL5_HUMAN;RS4X_HUMAN;RL23_HUMAN;RS3_HUMAN;RL38_HUMAN;RLA2_HUMAN;EIF3I_HUMAN;RS16_HUMAN;RL35_HUMAN;RS12_HUMAN;RS15A_HUMAN;EIF3F_HUMAN;RS27_HUMAN;RS27L_HUMAN;RL15_HUMAN;RS19_HUMAN;RS7_HUMAN;IF5_HUMAN;RS2_HUMAN;IF2B_HUMAN;IF4B_HUMAN;RS25_HUMAN;EIF3H_HUMAN;IF1AX_HUMAN;EIF3A_HUMAN;RL23A_HUMAN;RL27A_HUMAN;RL27_HUMAN;RL9_HUMAN;IF4E_HUMAN;RS18_HUMAN;EIF3E_HUMAN;RL11_HUMAN;EIF3L_HUMAN;RL7A_HUMAN;RL34_HUMAN;RL31_HUMAN;RL21_HUMAN;RL36L_HUMAN;RL3_HUMAN;RL6_HUMAN;RS6_HUMAN;RS28_HUMAN;IF4H_HUMAN;EIF3B_HUMAN;RL13_HUMAN;RL28_HUMAN;IF2A_HUMAN;EIF3D_HUMAN;RS26_HUMAN;RS17_HUMAN;RS11_HUMAN;RS27A_HUMAN;IF2G_HUMAN;RS29_HUMAN;RS14_HUMAN;RL7_HUMAN;RLA0_HUMAN;IF4A1_HUMAN;RS3A_HUMAN","Q9Y3U8;P23396;O75821;O75822;Q71UM5;P62917;P62081;P62280;P18124;O00303;P39019;P62750;P62277;P47914;P39023;P62273;P30050;P23588;P46783;P62913;P62753;O15371;O15372;P36578;P41091;P62244;P63173;P61353;P61313;Q7L2H7;P20042;P05386;P46777;P46776;P60866;P60228;P05387;P46779;P05388;P46778;P49207;P62249;P25398;P55884;P32969;P42766;Q02878;P62899;P55010;P40429;P61247;Q14152;P62857;P05198;P62979;P62851;P47813;P62854;Q13347;P08708;P26373;P62906;P62829;P35268;P18077;P42677;Q99613;P62266;P15880;Q02543;P61254;P62263;P62701;Q9Y262;Q14240;P62269;P62424;P06730;P60842;Q969Q0;Q15056",GEMI5_HUMAN;EIF3C_HUMAN;PP2AA_HUMAN;IF4A2_HUMAN;EIF3J_HUMAN;NCBP1_HUMAN;EIF3A_HUMAN;IF1AX_HUMAN;PABP1_HUMAN;IF4E_HUMAN;RENT1_HUMAN;RAN_HUMAN;RS6_HUMAN;IF5_HUMAN;LPPRC_HUMAN;IF4A1_HUMAN,Q04637;P47813;Q15056;P23588;P55010;P06730,"R-HSA-72672;R-HSA-72619;R-HSA-72671"
R-HSA-1799339,"SRP-dependent cotranslational protein targeting to membrane",75,121,0,0,0.008724493474655707,1.1102230246251565E-16,4.4075854077618715E-14,5,5,4.294425835265825E-4,9606,Homo sapiens,"RL29_HUMAN;RL13A_HUMAN;RL10A_HUMAN;SRP68_HUMAN;RL12_HUMAN;RL4_HUMAN;RL22_HUMAN;RL35A_HUMAN;RL8_HUMAN;SRPRA_HUMAN;RL26_HUMAN;SRP54_HUMAN;SSRA_HUMAN;RL36_HUMAN;RLA1_HUMAN;RL18A_HUMAN;SC61B_HUMAN;RS23_HUMAN;RS13_HUMAN;RS20_HUMAN;RS10_HUMAN;RL5_HUMAN;RS4X_HUMAN;SRP19_HUMAN;SSRD_HUMAN;RL23_HUMAN;RS3_HUMAN;SPCS2_HUMAN;RL38_HUMAN;RLA2_HUMAN;RS16_HUMAN;RL35_HUMAN;RS12_HUMAN;RS15A_HUMAN;RS27_HUMAN;RS27L_HUMAN;RL15_HUMAN;RS19_HUMAN;RS7_HUMAN;RS2_HUMAN;RS25_HUMAN;RPN2_HUMAN;SPCS3_HUMAN;SRPRB_HUMAN;RL23A_HUMAN;RL27A_HUMAN;RL27_HUMAN;RL9_HUMAN;RS18_HUMAN;RL11_HUMAN;RL7A_HUMAN;RL34_HUMAN;RL31_HUMAN;RL21_HUMAN;S61A1_HUMAN;RL36L_HUMAN;RL3_HUMAN;RL6_HUMAN;RS6_HUMAN;SRP72_HUMAN;RS28_HUMAN;RL13_HUMAN;SRP14_HUMAN;RL28_HUMAN;SRP09_HUMAN;RS26_HUMAN;RS17_HUMAN;RS11_HUMAN;RS27A_HUMAN;RS29_HUMAN;RS14_HUMAN;RL7_HUMAN;RLA0_HUMAN;RS3A_HUMAN;RPN1_HUMAN","",,,"R-HSA-1799326;R-HSA-1799330;R-HSA-1799329;R-HSA-1799335;R-HSA-1799332"
R-HSA-72764,"Eukaryotic Translation Termination",62,108,1,5,0.007787151200519144,1.1102230246251565E-16,4.4075854077618715E-14,5,5,4.294425835265825E-4,9606,Homo sapiens,"RL29_HUMAN;RL13A_HUMAN;RL10A_HUMAN;RL12_HUMAN;RL4_HUMAN;RL22_HUMAN;RL35A_HUMAN;RL8_HUMAN;RL26_HUMAN;TR112_HUMAN;RL36_HUMAN;RLA1_HUMAN;RL18A_HUMAN;RS23_HUMAN;RS13_HUMAN;RS20_HUMAN;RS10_HUMAN;RL5_HUMAN;RS4X_HUMAN;RL23_HUMAN;RS3_HUMAN;RL38_HUMAN;RLA2_HUMAN;RS16_HUMAN;RL35_HUMAN;RS12_HUMAN;RS15A_HUMAN;ERF1_HUMAN;RS27_HUMAN;RS27L_HUMAN;RL15_HUMAN;RS19_HUMAN;RS7_HUMAN;RS2_HUMAN;ACPH_HUMAN;RS25_HUMAN;RL23A_HUMAN;RL27A_HUMAN;RL27_HUMAN;RL9_HUMAN;RS18_HUMAN;RL11_HUMAN;RL7A_HUMAN;RL34_HUMAN;RL31_HUMAN;RL21_HUMAN;RL36L_HUMAN;RL3_HUMAN;RL6_HUMAN;RS6_HUMAN;RS28_HUMAN;RL13_HUMAN;RL28_HUMAN;RS26_HUMAN;RS17_HUMAN;RS11_HUMAN;RS27A_HUMAN;RS29_HUMAN;RS14_HUMAN;RL7_HUMAN;RLA0_HUMAN;RS3A_HUMAN","Q9Y3U8;P23396;Q71UM5;P62917;P62081;P62280;P18124;P39019;P62750;P62277;P47914;P39023;P62273;P30050;P46783;P62913;P62753;P36578;P13798;P62244;P63173;P61353;P61313;P05386;P46777;P46776;P60866;P05387;P46779;P05388;P46778;P49207;P62249;P25398;P32969;P62495;P42766;Q02878;P62899;P40429;P61247;P62857;P62979;P62851;P62854;P08708;P26373;P62906;P62829;P35268;P18077;P42677;P62266;P15880;Q02543;P61254;P62263;P62701;Q9UI30;P62269;P62424;Q969Q0",ACPH_HUMAN,P13798,"R-HSA-141671;R-HSA-141691;R-HSA-141673;R-HSA-6800138;R-HSA-5691512"
R-HSA-975956,"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",63,101,5,22,0.007282428437522533,8.881784197001252E-16,2.9309887850104133E-13,1,1,8.58885167053165E-5,9606,Homo sapiens,"RL29_HUMAN;RL13A_HUMAN;RL10A_HUMAN;RL12_HUMAN;RL4_HUMAN;RL22_HUMAN;RL35A_HUMAN;RL8_HUMAN;RL26_HUMAN;RL36_HUMAN;RLA1_HUMAN;RL18A_HUMAN;RS23_HUMAN;RS13_HUMAN;RS20_HUMAN;RS10_HUMAN;RL5_HUMAN;RS4X_HUMAN;RL23_HUMAN;RS3_HUMAN;RL38_HUMAN;RLA2_HUMAN;RS16_HUMAN;RL35_HUMAN;RS12_HUMAN;RS15A_HUMAN;RENT1_HUMAN;ERF1_HUMAN;RS27_HUMAN;RS27L_HUMAN;RL15_HUMAN;RS19_HUMAN;RS7_HUMAN;RS2_HUMAN;RS25_HUMAN;PABP1_HUMAN;RL23A_HUMAN;RL27A_HUMAN;RL27_HUMAN;RL9_HUMAN;RS18_HUMAN;RL11_HUMAN;RL7A_HUMAN;RL34_HUMAN;RL31_HUMAN;RL21_HUMAN;RL36L_HUMAN;RL3_HUMAN;RL6_HUMAN;RS6_HUMAN;RS28_HUMAN;RL13_HUMAN;RL28_HUMAN;NCBP1_HUMAN;RS26_HUMAN;RS17_HUMAN;RS11_HUMAN;RS27A_HUMAN;RS29_HUMAN;RS14_HUMAN;RL7_HUMAN;RLA0_HUMAN;RS3A_HUMAN","Q9Y3U8;P23396;Q71UM5;P62917;P62081;P62280;P18124;P39019;P62750;P62277;P47914;P39023;P62273;P30050;P46783;P62913;P62753;Q09161;P36578;P62244;P63173;P61353;P61313;P05386;P46777;P46776;P60866;P05387;P46779;P05388;P46778;P49207;P62249;P25398;P32969;P11940;P62495;P42766;Q02878;P62899;P40429;P61247;P62857;P62979;P62851;P62854;P08708;P26373;P62906;P62829;P35268;P18077;P42677;P62266;P15880;Q02543;P61254;P62263;P62701;Q92900;P62269;P62424;Q969Q0",IF4E_HUMAN;NCBP1_HUMAN;FBRL_HUMAN;PABP1_HUMAN;DSRAD_HUMAN,Q92900,"R-HSA-927789"
R-HSA-156902,"Peptide chain elongation",61,99,4,25,0.007138221933809215,2.9976021664879227E-14,8.483214131160821E-12,5,5,4.294425835265825E-4,9606,Homo sapiens,"RL29_HUMAN;RL13A_HUMAN;EF1A1_HUMAN;RL10A_HUMAN;RL12_HUMAN;RL4_HUMAN;RL22_HUMAN;RL35A_HUMAN;RL8_HUMAN;RL26_HUMAN;RL36_HUMAN;RLA1_HUMAN;RL18A_HUMAN;RS23_HUMAN;RS13_HUMAN;RS20_HUMAN;RS10_HUMAN;RL5_HUMAN;RS4X_HUMAN;RL23_HUMAN;RS3_HUMAN;RL38_HUMAN;RLA2_HUMAN;RS16_HUMAN;RL35_HUMAN;RS12_HUMAN;RS15A_HUMAN;RS27_HUMAN;RS27L_HUMAN;RL15_HUMAN;RS19_HUMAN;RS7_HUMAN;RS2_HUMAN;RS25_HUMAN;EF2_HUMAN;RL23A_HUMAN;RL27A_HUMAN;RL27_HUMAN;RL9_HUMAN;RS18_HUMAN;RL11_HUMAN;RL7A_HUMAN;RL34_HUMAN;RL31_HUMAN;RL21_HUMAN;RL36L_HUMAN;RL3_HUMAN;RL6_HUMAN;RS6_HUMAN;RS28_HUMAN;RL13_HUMAN;RL28_HUMAN;RS26_HUMAN;RS17_HUMAN;RS11_HUMAN;RS27A_HUMAN;RS29_HUMAN;RS14_HUMAN;RL7_HUMAN;RLA0_HUMAN;RS3A_HUMAN","Q9Y3U8;P23396;Q71UM5;P62917;P62081;P62280;P18124;P39019;P62750;P62277;P47914;P39023;P62273;P30050;P46783;P62913;P62753;P13639;P36578;P62244;P63173;P68104;P61353;P61313;P05386;P46777;P46776;P60866;P05387;P46779;P05388;P46778;P49207;P62249;P25398;P32969;P42766;Q02878;P62899;P40429;P61247;P62857;P62979;P62851;P62854;P08708;P26373;P62906;P62829;P35268;P18077;P42677;P62266;P15880;Q02543;P61254;P62263;P62701;P62269;P62424;Q969Q0",RAB1A_HUMAN;RAN_HUMAN;RAC1_HUMAN;CDC42_HUMAN,15996,"R-HSA-156930;R-HSA-156915;R-HSA-156912;R-HSA-156923;R-HSA-156907"
R-HSA-9010553,"Regulation of expression of SLITs and ROBOs",96,183,15,84,0.013194895089768548,9.29256671611256E-14,2.304556545595915E-11,9,20,0.00171777033410633,9606,Homo sapiens,"RL29_HUMAN;RL13A_HUMAN;PSMD4_HUMAN;RL10A_HUMAN;RBX1_HUMAN;RL12_HUMAN;PSME4_HUMAN;RL4_HUMAN;RL22_HUMAN;RL35A_HUMAN;RL8_HUMAN;PSB5_HUMAN;RL26_HUMAN;PSA5_HUMAN;PSD11_HUMAN;RL36_HUMAN;RL18A_HUMAN;RLA1_HUMAN;RS23_HUMAN;RS13_HUMAN;RS10_HUMAN;RS20_HUMAN;PSMD1_HUMAN;PSME1_HUMAN;RL5_HUMAN;IF4A3_HUMAN;RS4X_HUMAN;PSB2_HUMAN;PSMD3_HUMAN;RL23_HUMAN;RS3_HUMAN;RL38_HUMAN;PRS6B_HUMAN;PSA4_HUMAN;RLA2_HUMAN;RS16_HUMAN;RL35_HUMAN;RS12_HUMAN;RS15A_HUMAN;ERF1_HUMAN;PSMD7_HUMAN;RS27_HUMAN;RS27L_HUMAN;RL15_HUMAN;PSB6_HUMAN;RS7_HUMAN;PSA1_HUMAN;RS19_HUMAN;RS2_HUMAN;RS25_HUMAN;PSME2_HUMAN;PRS7_HUMAN;PSA3_HUMAN;PSB3_HUMAN;RL23A_HUMAN;PABP1_HUMAN;RL27A_HUMAN;PRS4_HUMAN;RL27_HUMAN;RL9_HUMAN;PSD12_HUMAN;RS18_HUMAN;PSMD6_HUMAN;PRS10_HUMAN;RL11_HUMAN;RL7A_HUMAN;RL34_HUMAN;RL36L_HUMAN;RL31_HUMAN;RL21_HUMAN;RL3_HUMAN;RL6_HUMAN;RS6_HUMAN;RS28_HUMAN;PSME3_HUMAN;RL13_HUMAN;PSB7_HUMAN;RL28_HUMAN;NCBP1_HUMAN;PSB4_HUMAN;PRS8_HUMAN;PSDE_HUMAN;RS26_HUMAN;RS17_HUMAN;RS11_HUMAN;PSD13_HUMAN;RS27A_HUMAN;RS29_HUMAN;PSMD5_HUMAN;PSMD2_HUMAN;RS14_HUMAN;PSB1_HUMAN;PSA6_HUMAN;RL7_HUMAN;RLA0_HUMAN;RS3A_HUMAN","Q9Y3U8;P23396;Q71UM5;P62917;P62081;P62280;P51665;P18124;P39019;P62750;P62277;P47914;P62195;P39023;P62273;P30050;P62877;P46783;P62913;Q13200;P62753;P38919;O43242;P55036;Q09161;O00231;P36578;O00232;Q99436;P62244;P63173;P61353;P61313;P49721;Q16401;P49720;P60900;P05386;P46777;P46776;P60866;P05387;P46779;P05388;P62249;P46778;P49207;P25398;P28066;P32969;P11940;Q06323;O00487;P35998;P62495;P42766;Q02878;P62333;P20618;P25789;P62899;P40429;P25788;P61247;P62857;P61289;P62979;P62851;P62854;P25786;Q14997;Q15008;Q9UL46;P08708;P26373;P62906;P62829;Q9UNM6;P62191;P28074;P35268;P18077;Q99460;P28072;P28070;P42677;P62266;P15880;Q02543;P61254;P62263;P62701;P43686;P62269;P62424;Q969Q0",KEAP1_HUMAN;PCBP1_HUMAN;HNRH2_HUMAN;IF4A2_HUMAN;EIF3J_HUMAN;PPIL1_HUMAN;NCBP1_HUMAN;PABP1_HUMAN;IF4E_HUMAN;RENT1_HUMAN;PABP2_HUMAN;1433G_HUMAN;PCBP2_HUMAN;HNRPF_HUMAN;IF4A1_HUMAN,Q04637;P62495;P11940;P50458;O43347,"R-HSA-9011289;R-HSA-9014652;R-HSA-9011313;R-HSA-8986083;R-HSA-9014610;R-HSA-9011346;R-HSA-9011074;R-HSA-9011077;R-HSA-9011300"
R-HSA-192823,"Viral mRNA Translation",60,114,6,20,0.008219770711659096,2.287614542240135E-12,5.032751992928297E-10,2,2,1.71777033410633E-4,9606,Homo sapiens,"RL29_HUMAN;RL13A_HUMAN;RL10A_HUMAN;RL12_HUMAN;RL4_HUMAN;RL22_HUMAN;RL35A_HUMAN;RL8_HUMAN;RL26_HUMAN;RL36_HUMAN;RLA1_HUMAN;RL18A_HUMAN;RS23_HUMAN;RS13_HUMAN;RS20_HUMAN;RS10_HUMAN;RL5_HUMAN;RS4X_HUMAN;RL23_HUMAN;RS3_HUMAN;RL38_HUMAN;RLA2_HUMAN;RS16_HUMAN;DNJC3_HUMAN;RL35_HUMAN;RS12_HUMAN;RS15A_HUMAN;RS27_HUMAN;RS27L_HUMAN;RL15_HUMAN;RS19_HUMAN;RS7_HUMAN;RS2_HUMAN;RS25_HUMAN;RL23A_HUMAN;RL27A_HUMAN;RL27_HUMAN;RL9_HUMAN;RS18_HUMAN;RL11_HUMAN;RL7A_HUMAN;RL34_HUMAN;RL31_HUMAN;RL21_HUMAN;RL36L_HUMAN;RL3_HUMAN;RL6_HUMAN;RS6_HUMAN;RS28_HUMAN;RL13_HUMAN;RL28_HUMAN;RS26_HUMAN;RS17_HUMAN;RS11_HUMAN;RS27A_HUMAN;RS29_HUMAN;RS14_HUMAN;RL7_HUMAN;RLA0_HUMAN;RS3A_HUMAN","Q9Y3U8;P23396;Q71UM5;P62917;P62081;P62280;P18124;P39019;P62750;P62277;P47914;P39023;P62273;P30050;P46783;P62913;P62753;P36578;P62244;P63173;P61353;P61313;P05386;P46777;P46776;P60866;P05387;P46779;P05388;P46778;P49207;P62249;P25398;P32969;Q13217;P42766;Q02878;P62899;P40429;P61247;P62857;P62979;P62851;P62854;P08708;P26373;P62906;P62829;P35268;P18077;P42677;P62266;P15880;Q02543;P61254;P62263;P62701;P62269;P62424;Q969Q0",RTCB_HUMAN;MOV10_HUMAN;RENT1_HUMAN;TRI25_HUMAN;ENOA_HUMAN;DSRAD_HUMAN,P03496,"R-HSA-192704;R-HSA-192841"
R-HSA-72649,"Translation initiation complex formation",47,63,11,32,0.004542504866969501,6.579403688533603E-12,1.2440248831069312E-9,2,2,1.71777033410633E-4,9606,Homo sapiens,"RS2_HUMAN;IF2B_HUMAN;IF4B_HUMAN;RS25_HUMAN;EIF3C_HUMAN;EIF3H_HUMAN;IF4A2_HUMAN;EIF3J_HUMAN;EIF3M_HUMAN;IF1AX_HUMAN;EIF3A_HUMAN;PABP1_HUMAN;IF4E_HUMAN;RS18_HUMAN;EIF3E_HUMAN;EIF3L_HUMAN;EIF3G_HUMAN;RS23_HUMAN;RS13_HUMAN;RS20_HUMAN;RS6_HUMAN;RS10_HUMAN;RS28_HUMAN;IF4H_HUMAN;RS4X_HUMAN;EIF3B_HUMAN;RS3_HUMAN;IF2A_HUMAN;EIF3D_HUMAN;EIF3I_HUMAN;RS26_HUMAN;RS16_HUMAN;RS12_HUMAN;RS15A_HUMAN;RS17_HUMAN;RS11_HUMAN;EIF3F_HUMAN;RS27_HUMAN;RS27A_HUMAN;IF2G_HUMAN;RS27L_HUMAN;RS29_HUMAN;RS19_HUMAN;RS7_HUMAN;RS14_HUMAN;IF4A1_HUMAN;RS3A_HUMAN","P25398;P23396;P55884;O75821;O75822;Q71UM5;P11940;P62081;P62280;O00303;P39019;P62277;P62273;P23588;P61247;Q14152;P46783;P62857;P05198;P62979;P62851;P62753;P47813;P62854;O15371;Q13347;O15372;P08708;P41091;P42677;Q99613;P62266;P62244;P15880;P62263;P62701;Q9Y262;Q14240;Q7L2H7;P20042;P60866;P60228;P62269;P06730;P60842;Q15056;P62249",PCBP1_HUMAN;IF4E_HUMAN;RENT1_HUMAN;PABP2_HUMAN;EIF3C_HUMAN;RAN_HUMAN;1433G_HUMAN;EIF3A_HUMAN;NCBP1_HUMAN;PCBP2_HUMAN;IF5_HUMAN,P47813;P11940,"R-HSA-156808;R-HSA-157849"
